y_prob_dupl	y_gt
[0.31349418047047817]	1
[0.43620318578976325]	1
[0.0013146544529133442]	0
[0.059664389034533971]	1
[0.00225259923650456]	0
[0.0335054101278629]	0
[0.29425151874980648]	1
[0.0083178423460429363]	0
[0.0025293149082430411]	0
[0.62437217634169428]	1
[0.04742108718338689]	0
[0.32159161693966842]	1
[0.040761719211441894]	0
[0.34054815002715277]	1
[0.21996913552224717]	1
[0.55109498507692267]	1
[0.027861423033967325]	0
[0.28204097021248775]	1
[0.0024341719922593708]	1
[0.0018602740397944961]	0
[0.75877745410207575]	1
[0.99999752280179577]	1
[0.16148249803827053]	1
[0.0030558637783887344]	0
[0.0023895098035101592]	0
[0.30703593995297696]	1
[0.012463926577469531]	0
[0.0021274060642678672]	0
[0.003338231231556299]	0
[0.0016613906238399645]	0
[0.42740757693313292]	1
[0.17267433076325811]	1
[0.11363637932985959]	0
[0.12060637702145205]	1
[0.01629944297976893]	0
[0.51140717586320639]	1
[0.0021268624293381277]	0
[0.0011588046867569979]	0
[0.99999818492791115]	1
[0.0020790030637929391]	0
[0.0027077158917626631]	0
[0.12791630270440391]	0
[0.25756813152344948]	1
[0.93558348622087306]	1
[0.30613942999489452]	0
[0.17012315645138221]	1
[0.5911818324981768]	1
[0.0025084593315436443]	0
[0.0023035393286581218]	0
[0.50119119890801567]	1
[0.032119254636337802]	0
[0.031117576541762948]	1
[0.49738752738309955]	1
[0.69148112276369667]	1
[0.4378822635695]	1
[0.00140957682840126]	0
[0.48021853179994878]	1
[0.7946792496147479]	1
[0.0017653946664841769]	0
[0.61308838658958342]	1
[0.58339248368669394]	1
[0.10628716172520902]	0
[0.24825171133648816]	1
[0.64020455129975029]	1
[0.048136017788003693]	0
[0.0030401365351765408]	0
[0.058981251140732494]	1
[0.027965191180073234]	0
[0.12308428243725045]	0
[0.018960897823711798]	0
[0.19441252217887361]	0
[0.25401078512304098]	0
[0.051082591160865332]	0
[0.0041297543433977957]	0
[0.054839164103625659]	0
[0.59353061781044247]	1
[0.0014884579888000404]	0
[0.062489972520481496]	1
[0.0099086125271864445]	0
[0.71818749508257163]	1
[0.034648240503809657]	0
[0.58223293330985992]	1
[0.82861020138827091]	1
[0.76650427381313802]	1
[0.0020332957634626725]	1
[0.35599747459143338]	1
[0.042332604276231312]	0
[0.57472495582434002]	1
[0.71621421412071229]	1
[0.0085109470911274299]	0
[0.89726489173044333]	1
[0.050695848606479244]	0
[0.69542825851478918]	1
[0.49322314786081578]	1
[0.48476416589125537]	1
[0.34603517313259924]	1
[0.0022084090978381488]	0
[0.10402813111690401]	0
[0.0018060201761600503]	0
[0.48310547854784147]	1
[0.0014220198173345855]	0
[0.0015877703161352175]	0
[0.014924584310672562]	0
[0.029154784590559868]	0
[0.32696682488949991]	1
[0.14528335596881037]	0
[0.010607638669460573]	0
[0.20626189796528971]	1
[0.42674846043078729]	1
[0.0031142944633669734]	0
[0.009755798386998249]	0
[0.26499998729086061]	1
[0.41550987561546671]	1
[0.023601625762539435]	1
[0.46737726612363262]	1
[0.03468116953501954]	0
[0.57086890410454783]	1
[0.0031412094850240546]	0
[0.095337451022674324]	1
[0.002213983685723564]	0
[0.065736628557888865]	0
[0.67799760922279984]	1
[0.058646877399683883]	0
[0.47371331167894426]	1
[0.0032091206134342576]	0
[0.052466680279020794]	0
[0.22736214039691061]	1
