	bug_id_x	title_x	description_x	dup_id_x	bug_id_y	title_y	description_y	dup_id_y
0	22413	problems with cut paste mixed text images from html sources	when pasting information taken from web pages into text documents problems arise with images included into the original html page the word processor renders the text quickly and without problems but apparently blocks itself with the images more than seconds with each one and many times it finally renders only the image reference but not the graphics content you can easily reproduce the problems if you try to cut information from that url http www106ibmcomdeveloperworksopensourcelibraryosecc and then paste it into a newly created text document msword renders the resulting document without a glitch so there s no problem with the original information in html	37652	37652	set default options for pasting images from html content embed graphics instead of linking them	i would like to set the default options for pasting images from html content often i have to insert a html page into ooo for that i use the clipboard and just paste the content into the word processor images are all in the document since or without problems however they are not embedded but linked i always have to manually select remove links from the edit links menu i would like to see an option about the default behaviour when pasting images or other content from html pages using word it is much comfortable for my work because i just can insert the clipboard save and all imags are embedded	
1	41055	hitting cancel button in document properties window shall abort pdf export	i to ooo configured to ask for document properties on save fileproperties dialog the same dialog pops up on export to pdf while document properties are not filled however in this case cancel button suggest i can cancel the whole pdf export process not just cancel properties change which is misleading way to reporduce have any document ensure you got enabled edit document properties before save in tools loadsave general should nt it be in fact before saveexport select export as pdf choose target accept pdf options now properties dialog pop ups and no matter if you hit ok or cancel your pdf will be created	35177	35177	canceling graphic export produces file	this issue is true for all graphic exports that bring up an export options dialog bmp etc when canceling this dialog a file will be generated in every case	
2	103277	vcl kwin wo nt give windows with gdkwindowtypehintdock the focus	the problem arises when we create a presentation window with the gtk vclplug and use the partialfullscreen mode we use for xinerama with different monitors under the kwin windowmanager a different windowmanger ok single monitor or single view ok as we do nt use partialfullscreen as we do nt get focus for the presentation it never plays so a giant empty unrefreshed window materializes attached is a yet another hackaround https bugzillaredhatcomshowbugcgi id506984 has some more detail and a standalone gtk demo program	103145	103145	avoid sticky state of fullscreen window	at least gtkplug sets sticky state to fullscreen window when running on xinerama display which makes switching away from the presentation to demo something impossible	
3	62010	writer hebrew page numbering problem	it seems that after a certain number page numbering in hebrew seems to not print i chose a header inserted a field selected other set to hebrew and then the offset to	2235	2235	page numbering offset	when adding the field page numbers either in the footer header or main text and setting the offset for the numbering to start from over does not produce the correct numbering in fact after pressing ok on the field properties window no numbers are displayed and no numbers are printed if you send the doc to the printer this happens no matter what the other choices are selected in the field properties window for page numbering in reproducing this defect attention has to be paid to what number is inserted in the offset because for small numbers up to or the application works fine for this defect the application writer does not crash just the correct numbering is not produced this happened to me always under both linux and windows versions step by step reproducing the defect open a new doc in the writer insert the footer inside the footer insert the field page numbers open the field page numbers properties window by clicking with the right button mouse on the field choose an offset to be typed in the bottomright part of the field properties window that is bigger than give the ok to the field properties window the page numbers field is not anymore displayed in the document take care to use big numbers in step above because there is no defect for small numbers	
4	88031	error by page numbering	when inserting page numbers i adjusted it to number not from byt from on the last pages there is no page number displayed only page number field with dot it seems that if you shift numbering it finishes numbering not on the end of document but stops numbering when reaching number of pages in documnet i also changed shift number and still the same behavior when i entered new page after page numbering was ending page later	2235	2235	page numbering offset	when adding the field page numbers either in the footer header or main text and setting the offset for the numbering to start from over does not produce the correct numbering in fact after pressing ok on the field properties window no numbers are displayed and no numbers are printed if you send the doc to the printer this happens no matter what the other choices are selected in the field properties window for page numbering in reproducing this defect attention has to be paid to what number is inserted in the offset because for small numbers up to or the application works fine for this defect the application writer does not crash just the correct numbering is not produced this happened to me always under both linux and windows versions step by step reproducing the defect open a new doc in the writer insert the footer inside the footer insert the field page numbers open the field page numbers properties window by clicking with the right button mouse on the field choose an offset to be typed in the bottomright part of the field properties window that is bigger than give the ok to the field properties window the page numbers field is not anymore displayed in the document take care to use big numbers in step above because there is no defect for small numbers	
5	60284	page number shifting cause loss of page numbers	page number shifting such as has problem these page numbers can not be shown numbers or bigger number on last page ps i m too scared to test printing out reploduction make a new document with 49pages incert page number in footer rightclick the pagenumber and click field set the page number to start from 2or bigger see footers on every page	2235	2235	page numbering offset	when adding the field page numbers either in the footer header or main text and setting the offset for the numbering to start from over does not produce the correct numbering in fact after pressing ok on the field properties window no numbers are displayed and no numbers are printed if you send the doc to the printer this happens no matter what the other choices are selected in the field properties window for page numbering in reproducing this defect attention has to be paid to what number is inserted in the offset because for small numbers up to or the application works fine for this defect the application writer does not crash just the correct numbering is not produced this happened to me always under both linux and windows versions step by step reproducing the defect open a new doc in the writer insert the footer inside the footer insert the field page numbers open the field page numbers properties window by clicking with the right button mouse on the field choose an offset to be typed in the bottomright part of the field properties window that is bigger than give the ok to the field properties window the page numbers field is not anymore displayed in the document take care to use big numbers in step above because there is no defect for small numbers	
6	116677	problem with displacementchange of the number of pages in writer	hi i m using opeoffice in my ubuntu bits i love the oo suite but everytime that i need to changedislocate the number of the pages in some document i always have the same problem i just go in insert header default and after click in the header i use ctrlf2 and insert the page number in the field and everithing works perfectly but if i change some value in the menu offset to make some variation in the number of the pages the pagination just disapear al the numbers in all pages just disapear same problem if i insert the number and click with the right buttom and select field and change the menu offset	2235	2235	page numbering offset	when adding the field page numbers either in the footer header or main text and setting the offset for the numbering to start from over does not produce the correct numbering in fact after pressing ok on the field properties window no numbers are displayed and no numbers are printed if you send the doc to the printer this happens no matter what the other choices are selected in the field properties window for page numbering in reproducing this defect attention has to be paid to what number is inserted in the offset because for small numbers up to or the application works fine for this defect the application writer does not crash just the correct numbering is not produced this happened to me always under both linux and windows versions step by step reproducing the defect open a new doc in the writer insert the footer inside the footer insert the field page numbers open the field page numbers properties window by clicking with the right button mouse on the field choose an offset to be typed in the bottomright part of the field properties window that is bigger than give the ok to the field properties window the page numbers field is not anymore displayed in the document take care to use big numbers in step above because there is no defect for small numbers	
7	48952	toolbar position and toolbar visibility is nt stored	first of all i realy do nt know if this is the right component i do nt understand the english terms i only use the german version of ooo so i ca nt use the terms uses by the english version i have to use the german ones and an english translation i searched for similar bugs and found none for beta i do nt know if this is a feature or a bug so i declared it p3 so here comes the strange behaviour open a document open a toolbar ansicht symbolleisten tabelle view toolbars tables do nt matter which toolbar position the toolbar eg on the left side close document close openoffice reopen document toolbar position and toolbar visibility is nt remembered xp sp2	41469	41469	lockunlock state of toolbars are not stored persistently	to reproduce this start office in backing mode open context menu of the standard toolbar and choose lock toolbar position close office start office in backing mode again standard is not locked although it should be	
8	47406	oo forgets tool panel setting	if you display a hidden tool panel for example table after reopen application that panel is not restored but if you display panel tools it will be restored after reopen application i suggest to remember panel s setting visiblehidden for all panels you can have a look at example in attached avi file	41469	41469	lockunlock state of toolbars are not stored persistently	to reproduce this start office in backing mode open context menu of the standard toolbar and choose lock toolbar position close office start office in backing mode again standard is not locked although it should be	
9	41605	ooo does nt remember locked state of toolbar between sessions	run soffice remember to check the restore editing view in tools options view by default it is checked lock the toolbar position of standard toolbar in the backing window or hide the toolbar quit again run sofficeexe the toolbar is not locked ooo doe nt remember its state between sessions further it does nt remember whether the toolbar was on or off i believe users prefer to have their toolbars in particular places	41469	41469	lockunlock state of toolbars are not stored persistently	to reproduce this start office in backing mode open context menu of the standard toolbar and choose lock toolbar position close office start office in backing mode again standard is not locked although it should be	
